Date,Index,Close,Change,Previous,Change (%),Source
2026-09-24,NSE 10 Share Index,2763.41,17.86,2745.55,0.65,https://www.nse.co.ke/wp-content/uploads/24-SEP-26.pdf
2026-09-24,NSE 20 Share Index,4360.04,34.13,4325.91,0.79,https://www.nse.co.ke/wp-content/uploads/24-SEP-26.pdf
2026-09-24,NSE 25 Share Index,7050.95,36.22,7014.73,0.52,https://www.nse.co.ke/wp-content/uploads/24-SEP-26.pdf
2026-09-24,NSE All Share Index (NASI),248.46,1.25,247.21,0.51,https://www.nse.co.ke/wp-content/uploads/24-SEP-26.pdf
2026-09-24,NSE Banking Sector Index,293.28,1.29,291.99,0.44,https://www.nse.co.ke/wp-content/uploads/24-SEP-26.pdf
